游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/761394?appid=730&game=csgo&classid=5084171531&instanceid=188530139&assetid=28437660996&contextid=2"", ""R8 左轮手枪（纪念品） | 氮化处理 (战痕累累)"")",¥ 0.85,2023-01-28 16:46:17,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/39740?appid=730&game=csgo&classid=4673628644&instanceid=188539935&assetid=26669087328&contextid=2"", ""USP 消音版（StatTrak™） | 枪响人亡 (久经沙场)"")",¥ 788,2022-07-31 16:08:35,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/871496?appid=730&game=csgo&classid=4578724356&instanceid=480085569&assetid=26275334800&contextid=2"", ""MP9 | 富士山 (崭新出厂)"")",¥ 25,2022-06-27 18:07:32,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/38202?appid=730&game=csgo&classid=4537881512&instanceid=188530170&assetid=25421688831&contextid=2"", ""AK-47（StatTrak™） | 霓虹革命 (略有磨损)"")",¥ 315,2022-04-12 19:14:05,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45278?appid=730&game=csgo&classid=2735431388&instanceid=188530139&assetid=25382688696&contextid=2"", ""内格夫 | 狮子鱼 (久经沙场)"")",¥ 1.76,2022-04-08 10:38:38,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45428?appid=730&game=csgo&classid=2736629091&instanceid=188530139&assetid=25253986620&contextid=2"", ""驾驶手套（★） | 墨绿色调 (战痕累累)"")",¥ 275,2022-03-24 12:37:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/775950?appid=730&game=csgo&classid=3608090154&instanceid=480085569&assetid=25226638188&contextid=2"", ""法玛斯 | 日暮 (崭新出厂)"")",¥ 191,2022-03-21 02:19:16,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/779247?appid=730&game=csgo&classid=3770686160&instanceid=188530139&assetid=25217755073&contextid=2"", ""SSG 08 | 浮生如梦 (战痕累累)"")",¥ 3,2022-03-20 02:37:40,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/763429?appid=730&game=csgo&classid=4684043857&instanceid=188530478&assetid=25211817811&contextid=2"", ""AWP（StatTrak™） | 黑色魅影 (久经沙场)"")",¥ 270,2022-03-19 19:32:09,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45389?appid=730&game=csgo&classid=4784352088&instanceid=188530139&assetid=25210374716&contextid=2"", ""SG 553 | 阿罗哈 (略有磨损)"")",¥ 0.4,2022-03-19 15:51:33,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45271?appid=730&game=csgo&classid=4782222444&instanceid=188530139&assetid=25191771489&contextid=2"", ""MP9 | 黑砂 (战痕累累)"")",¥ 0.35,2022-03-17 15:18:29,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36537?appid=730&game=csgo&classid=4781163836&instanceid=302028390&assetid=25186430854&contextid=2"", ""SSG 08 | 蓝色云杉 (久经沙场)"")",¥ 0.1,2022-03-17 00:02:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/38830?appid=730&game=csgo&classid=4755415285&instanceid=902658099&assetid=24971281870&contextid=2"", ""M4A1 消音型（StatTrak™） | 暴怒野兽 (久经沙场)"")",¥ 290,2022-02-21 17:52:18,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/779175?appid=730&game=csgo&classid=3761545285&instanceid=0&assetid=24954438423&contextid=2"", ""棱彩2号武器箱"")",¥ 0.19,2022-02-19 22:32:15,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/857515?appid=730&game=csgo&classid=4418618853&instanceid=0&assetid=24898502474&contextid=2"", ""蛇噬武器箱"")",¥ 0.4,2022-02-13 21:49:29,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/886606?appid=730&game=csgo&classid=4717330486&instanceid=0&assetid=24898265521&contextid=2"", ""梦魇武器箱"")",¥ 8.35,2022-02-13 21:21:54,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36610?appid=730&game=csgo&classid=4738857645&instanceid=302028390&assetid=24838145946&contextid=2"", ""截短霰弹枪 | 森林 DDPAT (久经沙场)"")",¥ 0.15,2022-02-07 18:26:20,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36446?appid=730&game=csgo&classid=4738854998&instanceid=302028390&assetid=24837984488&contextid=2"", ""SG 553 | 军队之辉 (略有磨损)"")",¥ 0.16,2022-02-07 18:07:31,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/781545?appid=730&game=csgo&classid=3955290856&instanceid=188530139&assetid=24836125294&contextid=2"", ""PP-野牛 | 神秘碑文 (战痕累累)"")",¥ 0.31,2022-02-07 13:10:26,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36312?appid=730&game=csgo&classid=310776765&instanceid=302028390&assetid=24835309024&contextid=2"", ""PP-野牛 | 都市虚线 (久经沙场)"")",¥ 0.11,2022-02-07 09:50:35,交易成功
