游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710347&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710287&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:47,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710307&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:47,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36711?appid=730&game=csgo&classid=1989281985&instanceid=302028390&assetid=29897896200&contextid=2"", ""封装的涂鸦 | 八号球 (纯紫)"")",¥ 0.15,2023-04-25 14:42:04,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898132484&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29897399288&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.27,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898132509&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29900125305&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898132437&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898132469&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898132454&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.29,2023-04-25 14:41:19,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900125954&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900125963&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900125986&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=1989293262&instanceid=302028390&assetid=29900125974&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900125995&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126042&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:40:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=5302600284&instanceid=302028390&assetid=29900126006&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.27,2023-04-25 14:39:59,交易成功
